"cell_id","regime","regime_label","tau0","n","rep","seed","status","error_message","loglik_iid","loglik_matern_original","loglik_matern_refined","delta_original","delta_refined","selection_original","selection_refined","fitted_range_original","fitted_range_refined","range_ratio_refined","flip_to_iid"
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,50,21160463,"ok",NA,-11.976167022851,-11.750505691725,-11.750505691725,0.225661331125998,0.225661331125998,"matern","matern",0.0159980671509853,0.0159980671509853,1,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,6,21160419,"ok",NA,-3.29048976500891,-3.2479827415047,-3.2479827415047,0.0425070235042107,0.0425070235042107,"matern","matern",0.0140060534063106,0.0140060534063106,1,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,9,21160422,"ok",NA,-15.2695299455879,-15.2028698943149,-15.2028698943149,0.0666600512730753,0.0666600512730753,"matern","matern",0.0146573263212479,0.0146573263212479,1,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,36,21160449,"ok",NA,-14.0830038339774,-13.7241036804362,-13.7241036804362,0.358900153541207,0.358900153541207,"matern","matern",0.0168301655677435,0.0168301655677435,1,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,7,21160420,"ok",NA,-20.0158845135806,-19.6854688212281,-19.6854688212281,0.33041569235246,0.33041569235246,"matern","matern",0.0143699708638233,0.0143699708638233,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,17,21260430,"ok",NA,-62.6015481289448,-61.9428881193155,-61.9428881193155,0.658660009629301,0.658660009629301,"matern","matern",0.00100832039441091,0.00100832039441091,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,8,21260421,"ok",NA,-60.1946735383425,-59.7220924674946,-59.7220924674946,0.472581070847866,0.472581070847866,"matern","matern",0.000354683513716935,0.000354683513716935,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,7,21260420,"ok",NA,-66.9505298088443,-66.1446257929524,-66.1446257929524,0.80590401589194,0.80590401589194,"matern","matern",0.000306160829724162,0.000306160829724162,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,3,21260416,"ok",NA,-56.8522983234049,-55.4449133622097,-55.4449133622097,1.40738496119525,1.40738496119525,"matern","matern",0.0181322163454815,0.0181322163454815,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,4,21260417,"ok",NA,-60.1581140234616,-60.0511730055772,-60.0511730055772,0.106941017884367,0.106941017884367,"matern","matern",0.00021278454676729,0.00021278454676729,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,16,21260429,"ok",NA,-59.3132671898231,-58.4098059252207,-58.4098059252207,0.903461264602385,0.903461264602385,"matern","matern",0.000570190002912069,0.000570190002912069,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,19,21260432,"ok",NA,-78.6296900137041,-78.5739947813099,-78.5739947813099,0.0556952323942141,0.0556952323942141,"matern","matern",4.32319956965441e-05,4.32319956965441e-05,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,26,21260439,"ok",NA,-61.4942220169496,-60.8141259166514,-60.8141259166514,0.68009610029813,0.68009610029813,"matern","matern",0.000603677612089776,0.000603677612089776,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,47,21260460,"ok",NA,-52.5002487668125,-50.9207270165392,-50.9207270165392,1.5795217502733,1.5795217502733,"matern","matern",0.00554481355645664,0.00554481355645664,1,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,33,21260446,"ok",NA,-54.3190789476143,-53.2528536458206,-53.2528536458206,1.06622530179374,1.06622530179374,"matern","matern",0.00649463116228934,0.00649463116228934,1,FALSE
"increasing_domain__tau0_0.2__n_160","increasing_domain","increasing-domain",0.2,160,3,21360416,"ok",NA,-31.6984537005991,-31.2537357064052,-31.2537357064052,0.444717994193937,0.444717994193937,"matern","matern",2.525828074904e-05,2.525828074904e-05,1,FALSE
"increasing_domain__tau0_0.2__n_160","increasing_domain","increasing-domain",0.2,160,7,21360420,"ok",NA,-22.7385428701385,-22.7356129202671,-22.7356129202671,0.00292994987145789,0.00292994987145789,"matern","matern",0.00955125370470688,0.00955125370470688,1,FALSE
"increasing_domain__tau0_0.2__n_160","increasing_domain","increasing-domain",0.2,160,8,21360421,"ok",NA,-36.465475769807,-36.2937430406992,-36.2937430406992,0.171732729107816,0.171732729107816,"matern","matern",0.00991276341031681,0.00991276341031681,1,FALSE
"increasing_domain__tau0_0.2__n_160","increasing_domain","increasing-domain",0.2,160,10,21360423,"ok",NA,-38.2989959986038,-37.97394266583,-37.97394266583,0.325053332773791,0.325053332773791,"matern","matern",0.000783096231316462,0.000783096231316462,1,FALSE
"increasing_domain__tau0_0.2__n_160","increasing_domain","increasing-domain",0.2,160,11,21360424,"ok",NA,-29.7468156494392,-28.0184739788698,-28.0184739788698,1.72834167056946,1.72834167056946,"matern","matern",0.0169916687136283,0.0169916687136283,1,FALSE
"increasing_domain__tau0_0.2__n_160","increasing_domain","increasing-domain",0.2,160,20,21360433,"ok",NA,-20.7176766228662,-20.1559815850938,-20.1559815850938,0.561695037772424,0.561695037772424,"matern","matern",0.0129531057921237,0.0129531057921237,1,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,47,21460460,"ok",NA,-114.231679737836,-111.497964538602,-111.497964538602,2.73371519923381,2.73371519923381,"matern","matern",0.0142491788537012,0.0142491788537012,1,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,53,21460466,"ok",NA,-121.849529219956,-121.775923644038,-121.775923644038,0.07360557591727,0.07360557591727,"matern","matern",0.000174490810736826,0.000174490810736826,1,FALSE
