"range","sigma","profiled_beta","loglik","relative_loglik"
0.207045240955621,0.633185469531335,0.226537970789949,-130.186036009249,-90.7492387844194
0.232060321274162,0.633185469531335,0.2252650302939,-106.233668766844,-66.7968715420147
0.257075401592702,0.633185469531335,0.223816194796915,-87.5872712623711,-48.1504740375417
0.282090481911243,0.633185469531335,0.222207315847894,-73.3105849519366,-33.8737877271073
0.307105562229783,0.633185469531335,0.220462532981287,-62.6116754817297,-23.1748782569003
0.332120642548324,0.633185469531335,0.218611296839304,-54.835885692409,-15.3990884675796
0.357135722866864,0.633185469531335,0.216685185711122,-49.4479301523871,-10.0111329275577
0.382150803185404,0.633185469531335,0.214715148085943,-46.0122384165358,-6.57544119170643
0.407165883503945,0.633185469531335,0.212729501395616,-44.1749144861017,-4.73811726127229
0.432180963822485,0.633185469531335,0.210752742050852,-43.6483151838187,-4.21151795898936
0.132,0.671656875852366,0.229363900447243,-270.490648858528,-231.053851633698
0.15701508031854,0.671656875852366,0.228673826327034,-222.137399886393,-182.700602661564
0.182030160637081,0.671656875852366,0.227841137231355,-181.758643185278,-142.321845960448
0.207045240955621,0.671656875852366,0.226846774397258,-148.813722705415,-109.376925480585
0.232060321274162,0.671656875852366,0.225680887827039,-122.332892904742,-82.8960956799122
0.257075401592702,0.671656875852366,0.224344044159395,-101.305485870599,-61.8686886457693
0.282090481911243,0.671656875852366,0.222847280905023,-84.8144088672034,-45.377611642374
0.307105562229783,0.671656875852366,0.221210547333099,-72.0724608793442,-32.6356636545148
